Name,Tooth,Class1,Class2,Classify,Exclude
AL333-43b_LRM1,M1,*,AL333-43b,*,*
AL1030-1_LLDM1,M1,*,AL1030-1,*,*
BK1333-CC8-1648_LRDM1,M1,*,BK1333-CC8-1648,*,*
DNH35_DNH35_LRDM1,M1,*,DNH35,*,*
Flores_LB_08_LLDM1,M1,*,Flores,*,*
Hden_BSY_LLDM1,M1,*,Hden,*,*
Hnal_UW101_1400_LLDM1,M1,*,Hnal,*,*
Hnal_UW101_1685_LRDM1,M1,*,Hnal,*,*
Hnea_Kebara_1_LRDM1,M1,*,Hnea,*,*
Hnea_KMH4_LLDM1,M1,*,Hnea,*,*
Hnea_MDA_S37_LRDM1,M1,*,Hnea,*,*
Hnea_PECH_DE_L_AZE_LRDM1,M1,*,Hnea,*,*
Hnea_Roc_de_Marsal_LLDM1,M1,*,Hnea,*,*
Hsap_GUID_T_39_LRDM1,M1,*,Hsap,*,*
Hsap_GUID_T_65_LRDM1,M1,*,Hsap,*,*
Hsap_GUID_T_77_LLDM1,M1,*,Hsap,*,*
Hsap_GUID_TB_49_B_LLDM1,M1,*,Hsap,*,*
Hsap_RN_XX_S_Tb_10_LLDM1,M1,*,Hsap,*,*
Hsap_RN_XX_T_03_LLDM1,M1,*,Hsap,*,*
Hsap_ROEEAPEZALIO_US_26_LRDM1,M1,*,Hsap,*,*
Hsap_SM_BT_TB_6_LLDM1,M1,*,Hsap,*,*
Hsap_SM_BT_US_22_LRDM1,M1,*,Hsap,*,*
Hsap_ULAC_81_LLDM1,M1,*,Hsap,*,*
Hsap_ULAC_477_LRDM1,M1,*,Hsap,*,*
Hsap_ULAC_742_LLDM1,M1,*,Hsap,*,*
Hsap_ULAC_982_LLDM1,M1,*,Hsap,*,*
Hsap_VALDARO_Be_Tb_75_LLDM1,M1,*,Hsap,*,*
Hsap_VALDARO_Tb_57_LLDM1,M1,*,Hsap,*,*
Hsap_VALDARO_Tb_76_LLDM1,M1,*,Hsap,*,*
KNM-ER820_LRDM1,M1,*,KNM-ER820,*,*
LH2_LRDM1,M1,*,LH2,*,*
LH3l_LRDM1,M1,*,LH3l,*,*
Omo222-1973-2744,44,*,Omo222-1973-2744,*,*
Prob_SK64_LRDM1,M1,*,Prob,*,*
Prob_TM1601a_LRDM1,M1,*,Prob,*,*
SK61_LRDM1,M1,*,SK61,*,*
SK63_LRDM1,M1,*,SK63,*,*
SK3978_LLDM1,M1,*,SK3978,*,*
STS24_LLDM1,M1,*,STS24,*,*
STW104_LLDM1,M1,*,STW104,*,*
STW151_LRDM1,M1,*,STW151,*,*
UW105-076_LRDM1,M1,*,UW105-076,*,*
UW105-076_V2_LRDM1,M1,*,UW105-076,*,*
Aafr_MLD_5_LRDM2,M2,*,Aafr,*,*
Aafr_STW_428_LLDM2,M2,*,Aafr,*,*
Garba_LRDM2,M2,*,Garba,*,*
Hden_BSY_LLDM2,M2,*,Hden,*,*
Hnal_UW101_1400_LRDM2,M2,*,Hnal,*,*
Hnal_UW101_1686_LRDM2,M2,*,Hnal,*,*
Hnea_Engis_2_LRDM2,M2,*,Hnea,*,*
Hnea_Kebara_1_LRDM2,M2,*,Hnea,*,*
Hnea_KMH4_LRDM2,M2,*,Hnea,*,*
Hnea_KRP_D62_LLDM2,M2,*,Hnea,*,*
Hnea_KRP_D63_LLDM2,M2,*,Hnea,*,*
Hnea_KRP_D65_LLDM2,M2,*,Hnea,*,*
Hnea_KRP_D68_LRDM2,M2,*,Hnea,*,*
Hnea_MDA_S37_LRDM2,M2,*,Hnea,*,*
Hnea_PECH_DE_L_AZE_LRDM2,M2,*,Hnea,*,*
Hnea_Roc_de_Marsal_LLDM2,M2,*,Hnea,*,*
Hsap_GUID_T_41_LRDM2,M2,*,Hsap,*,*
Hsap_GUID_T_49_B_LLDM2,M2,*,Hsap,*,*
Hsap_GUID_T_52_LLDM2,M2,*,Hsap,*,*
Hsap_GUID_T_54_LRDM2,M2,*,Hsap,*,*
Hsap_GUID_T_80_LRDM2,M2,*,Hsap,*,*
Hsap_PCJJH_B2.11_LRDM2,M2,*,Hsap,*,*
Hsap_ULAC_81_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_101_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_140_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_447_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_742_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_864_LRDM2,M2,*,Hsap,*,*
Hsap_ULAC_966_LRDM2,M2,*,Hsap,*,*
Hsap_ULAC_982_LLDM2,M2,*,Hsap,*,*
Hsap_ULAC_997_LLDM2,M2,*,Hsap,*,*
Hsap_VALDARO_BE_TB_75_LLDM2,M2,*,Hsap,*,*
Hsap_VALDARO_T_76_LLDM2,M2,*,Hsap,*,*
Hsap_VALDARO_T_89_LLDM2,M2,*,Hsap,*,*
Hsap_VALDARO_Tb_57_LLDM2,M2,*,Hsap,*,*
Hsapf_Qafzeh_15_LRDM2,M2,*,Hsapf,*,*
Hsapf_Skhul_1_LLDM2,M2,*,Hsapf,*,*
Hsapf_Skhul_10_LLDM2,M2,*,Hsapf,*,*
KNM-ER820_LLDM2,M2,*,KNM-ER820,*,*
LH2_LLDM2,M2,*,LH2,*,*
Prob_DNH_2_LLDM2,M2,*,Prob,*,*
Prob_DNH_56B_LRDM2,M2,*,Prob,*,*
Prob_DNH_60i_LLDM2,M2,*,Prob,*,*
Prob_SK61_LRDM2,M2,*,Prob,*,*
Prob_SK62_LLDM2,M2,*,Prob,*,*
Prob_SK64_LRDM2,M2,*,Prob,*,*
Prob_SK3978_LRDM2,M2,*,Prob,*,*
STS24_LRDM2,M2,*,STS24,*,*
STW151_LRDM2,M2,*,STW151,*,*
Taung1_LRDM2,M2,*,Taung1,*,*
UW105-249_LRDM2,M2,*,UW105-249,*,*
