Name,Tooth,Class1,Class2,Classify,Exclude
AL188-1_LRM3,M3,*,AL188-1,*,*
AL266-1_LRM3,M3,*,AL266-1,*,*
AL288-1_LRM3,M3,*,AL288-1,*,*
Hnal_UW101_LRM3,M3,*,Hnal,*,*
Hnal_UW516_LLM3,M3,*,Hnal,*,*
KNM-ER_806A_LLM3,M3,*,KNM-ER,*,*
KNM-ER_992_LRM3,M3,*,KNM-ER,*,*
KNM-ER_1812C_LLM3,M3,*,KNM-ER,*,*
LM3_Pboi_KNM-ER_15930_LLM3,M3,*,LM3,*,*
LM3_Pboi_KNM-ER_25520_LRM3,M3,*,LM3,*,*
OH4_LLM3,M3,*,OH4,*,*
OH13_LLM3,M3,*,OH13,*,*
OH16_LRM3,M3,*,OH16,*,*
Pb_Omo47-1973-1500_LRM3,M3,*,Pb,*,*
Pr_DNH7_LRM3,M3,*,Pr,*,*
Pr_DNH8_LLM3,M3,*,Pr,*,*
Pr_DNH12_LRM3,M3,*,Pr,*,*
Pr_DNH18_LRM3,M3,*,Pr,*,*
Pr_DNH21_LLM3,M3,*,Pr,*,*
Pr_DNH51_LRM3,M3,*,Pr,*,*
Pr_DNH68_LRM3,M3,*,Pr,*,*
Pr_SK6_LRM3,M3,*,Pr,*,*
Pr_SK22_LRM3,M3,*,Pr,*,*
Pr_SK23_LLM3,M3,*,Pr,*,*
Pr_SK34_LRM3,M3,*,Pr,*,*
Pr_SK75_LRM3,M3,*,Pr,*,*
Pr_SK841b_LLM3,M3,*,Pr,*,*
Pr_SK843_LLM3,M3,*,Pr,*,*
Pr_SKW5_LLM3,M3,*,Pr,*,*
Pr_SKX5014_LRM3,M3,*,Pr,*,*
Pr_SKX10642_LLM3,M3,*,Pr,*,*
Pr_SKX10643_LRM3,M3,*,Pr,*,*
Pr_TM1517b_LRM3,M3,*,Pr,*,*
Pr_TM1600_LLM3,M3,*,Pr,*,*
STW3_LLM3,M3,*,STW3,*,*
STW14_LRM3,M3,*,STW14,*,*
STW109_LRM3,M3,*,STW109,*,*
STW142(STW312)_LLM3,M3,*,STW142(STW312),*,*
STW237_LLM3,M3,*,STW237,*,*
STW384_LRM3,M3,*,STW384,*,*
STW404_LRM3,M3,*,STW404,*,*
STW491_LLM3,M3,*,STW491,*,*
STW498c_LLM3,M3,*,STW498c,*,*
STW520_LRM3,M3,*,STW520,*,*
STW529_LLM3,M3,*,STW529,*,*
STW537_LLM3,M3,*,STW537,*,*
STW560A_LRM3,M3,*,STW560A,*,*
UW101_1261_LRM3,M3,*,UW101,*,*
UW105-001_LLM3,M3,*,UW105-001,*,*
