Name,Tooth,Class1,Class2,Classify,Exclude
Aafr_STS24_LRM1,M1,Aus,Aafr,*,ex
Aafr_STS52b_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW106_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW123a_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW145_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW309A_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW364_LRM1,M1,Aus,Aafr,*,ex
Aafr_STW421A_LRM1,M1,Aus,Aafr,*,ex
AL145-35_LLM1,M1,Aus,Aafa,*,ex
AL266-1_LLM1,M1,Aus,Aafa,*,ex
AL330-7_LLM1,M1,Aus,Aafa,*,ex
AL330-5_LRM1,M1,Aus,Aafa,*,ex
AL333w-1_LLM1,M1,Aus,Aafa,*,ex
AL417-1a_LLM1,M1,Aus,Aafa,*,ex
Hnal_UW101_285_LM1,M1,Hnal,Hnal,*,ex
Hnal_UW101_582_LM1,M1,Hnal,Hnal,*,ex
KNM-ER_806C_LLM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_992_LLM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1502_LRM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1507_LLM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1802_LRM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1820_LLM1,M1,East Paranthropus,East Paranthropus,*,ex
KNM-ER_5431_LRM1,M1,TO EXCLUDE,TO EXCLUDE,*,ex
KNM-ER_15930_LLM1,M1,East Paranthropus,East Paranthropus,*,ex
L26-1g_LRM1,M1,Early Homo,Early Homo,*,ex
LH3t_LLM1,M1,Aus,Aafa,*,ex
OH7_LLM1,M1,Early Homo,Early Homo,*,ex
OH13_LRM1,M1,Early Homo,Early Homo,*,ex
OH16_LRM1,M1,Early Homo,Early Homo,*,ex
OH22_LRM1,M1,TO EXCLUDE,TO EXCLUDE,*,ex
OH30_LLM1,M1,East Paranthropus,East Paranthropus,*,ex
Pr_DNH8_LLM1,M1,Prob,Prob,*,ex
Pr_DNH46_LRM1,M1,Prob,Prob,*,ex
Pr_DNH60B_LRM1,M1,Prob,Prob,*,ex
Pr_SK6_LLM1,M1,Prob,Prob,*,ex
Pr_SK23_LLM1,M1,Prob,Prob,*,ex
Pr_SK25_LLM1,M1,Prob,Prob,*,ex
Pr_SK62_LLM1,M1,Prob,Prob,*,ex
Pr_SK104_LLM1,M1,Prob,Prob,*,ex
Pr_SK826b(828)_LLM1,M1,Prob,Prob,*,ex
Pr_SK843_LLM1,M1,Prob,Prob,*,ex
Pr_SK846a_LRM1,M1,Prob,Prob,*,ex
