Name,Tooth,Class1,Class2,Classify,Exclude
Aafr_STS24_LRM1,M1,*,Aafr,*,*
Aafr_STS52b_LRM1,M1,*,Aafr,*,*
Aafr_STW106_LRM1,M1,*,Aafr,*,*
Aafr_STW123a_LRM1,M1,*,Aafr,*,*
Aafr_STW145_LRM1,M1,*,Aafr,*,*
Aafr_STW309A_LRM1,M1,*,Aafr,*,*
Aafr_STW364_LRM1,M1,*,Aafr,*,*
Aafr_STW421A_LRM1,M1,*,Aafr,*,*
AL145-35_LLM1,M1,*,AL145-35,*,*
AL266-1_LLM1,M1,*,AL266-1,*,*
AL330-7_LLM1,M1,*,AL330-7,*,*
AL330-5_LRM1,M1,*,AL330-5,*,*
AL333w-1_LLM1,M1,*,AL333w-1,*,*
AL417-1a_LLM1,M1,*,AL417-1a,*,*
Hnal_UW101_285_LM1,M1,*,Hnal,*,*
Hnal_UW101_582_LM1,M1,*,Hnal,*,*
KNM-ER_806C_LLM1,M1,*,KNM-ER,*,*
KNM-ER_992_LLM1,M1,*,KNM-ER,*,*
KNM-ER_1502_LRM1,M1,*,KNM-ER,*,*
KNM-ER_1507_LLM1,M1,*,KNM-ER,*,*
KNM-ER_1802_LRM1,M1,*,KNM-ER,*,*
KNM-ER_1820_LLM1,M1,*,KNM-ER,*,*
KNM-ER_5431_LRM1,M1,*,KNM-ER,*,*
KNM-ER_15930_LLM1,M1,*,KNM-ER,*,*
L26-1g_LRM1,M1,*,L26-1g,*,*
LH3t_LLM1,M1,*,LH3t,*,*
OH7_LLM1,M1,*,OH7,*,*
OH13_LRM1,M1,*,OH13,*,*
OH16_LRM1,M1,*,OH16,*,*
OH22_LRM1,M1,*,OH22,*,*
OH30_LLM1,M1,*,OH30,*,*
Pr_DNH8_LLM1,M1,*,Pr,*,*
Pr_DNH46_LRM1,M1,*,Pr,*,*
Pr_DNH60B_LRM1,M1,*,Pr,*,*
Pr_SK6_LLM1,M1,*,Pr,*,*
Pr_SK23_LLM1,M1,*,Pr,*,*
Pr_SK25_LLM1,M1,*,Pr,*,*
Pr_SK62_LLM1,M1,*,Pr,*,*
Pr_SK104_LLM1,M1,*,Pr,*,*
Pr_SK826b(828)_LLM1,M1,*,Pr,*,*
Pr_SK843_LLM1,M1,*,Pr,*,*
Pr_SK846a_LRM1,M1,*,Pr,*,*
Pr_SK1587a_LLM1,M1,*,Pr,*,*
Pr_SK1588_LRM1,M1,*,Pr,*,*
Pr_SK3974_LRM1,M1,*,Pr,*,*
Pr_SKW5_LRM1,M1,*,Pr,*,*
Pr_SKX4446_LRM1,M1,*,Pr,*,*
UW105_811_LLM1,M1,*,UW105,*,*
Aafr_MLD2_LRM2,M2,*,Aafr,*,*
Aafr_STS52b_LRM2,M2,*,Aafr,*,*
Aafr_STW14_LRM2,M2,*,Aafr,*,*
Aafr_STW109_LRM2,M2,*,Aafr,*,*
Aafr_STW133_LLM2,M2,*,Aafr,*,*
Aafr_STW213_LLM2,M2,*,Aafr,*,*
Aafr_STW234_LRM2,M2,*,Aafr,*,*
Aafr_STW327_LLM2,M2,*,Aafr,*,*
Aafr_STW404_LRM2,M2,*,Aafr,*,*
Aafr_STW412B_LLM2,M2,*,Aafr,*,*
Aafr_STW491_LLM2,M2,*,Aafr,*,*
Aafr_STW498c_LLM2,M2,*,Aafr,*,*
Aafr_STW560E_LRM2,M2,*,Aafr,*,*
AL128-23_LRM2,M2,*,AL128-23,*,*
AL145-35_LLM2,M2,*,AL145-35,*,*
AL188-1_LRM2,M2,*,AL188-1,*,*
AL241-14_LLM2,M2,*,AL241-14,*,*
AL266-1_LRM2,M2,*,AL266-1,*,*
AL330-5_LRM2,M2,*,AL330-5,*,*
AL333w-1_LLM2,M2,*,AL333w-1,*,*
AL417-1a_LLM2,M2,*,AL417-1a,*,*
AL440-1_LRM2,M2,*,AL440-1,*,*
KNM-ER_806B_LLM2,M2,*,KNM-ER,*,*
KNM-ER_992_LLM2,M2,*,KNM-ER,*,*
KNM-ER_1507_LLM2,M2,*,KNM-ER,*,*
KNM-ER_1802_LRM2,M2,*,KNM-ER,*,*
KNM-ER_1808G_LRM2,M2,*,KNM-ER,*,*
KNM-ER_5431_LLM2,M2,*,KNM-ER,*,*
LM2_Pboi_KNM-ER_15930_LLM2,M2,*,LM2,*,*
OH7_LLM2,M2,*,OH7,*,*
OH13_LRM2,M2,*,OH13,*,*
OH16_LRM2,M2,*,OH16,*,*
OH22_LRM2,M2,*,OH22,*,*
Pb_KNM-ER_25520_LRM2,M2,*,Pb,*,*
Pb_L62-17_LRM2,M2,*,Pb,*,*
Pb_L157-35_LLM2,M2,*,Pb,*,*
Pb_OmoF203_LRM2,M2,*,Pb,*,*
Pr_DNH7_LRM2,M2,*,Pr,*,*
Pr_DNH8_LLM2,M2,*,Pr,*,*
Pr_DNH60C_LRM2,M2,*,Pr,*,*
Pr_GDA2_LRM2,M2,*,Pr,*,*
Pr_SK1_LLM2,M2,*,Pr,*,*
Pr_SK6_LRM2,M2,*,Pr,*,*
Pr_SK23_LLM2,M2,*,Pr,*,*
Pr_SK25_LRM2,M2,*,Pr,*,*
Pr_SK843_LLM2,M2,*,Pr,*,*
Pr_SK1587B_LRM2,M2,*,Pr,*,*
Pr_SKW5_LLM2,M2,*,Pr,*,*
Pr_SKX4446_LRM2,M2,*,Pr,*,*
Pr_TM1600_LLM2,M2,*,Pr,*,*
UW101_145,45,*,UW101,*,*
UW101_284,84,*,UW101,*,*
UW101_377_LRM2,M2,*,UW101,*,*
UW101_507,07,*,UW101,*,*
UW101_789,89,*,UW101,*,*
UW101_1142_LRM2,M2,*,UW101,*,*
UW101_1283_LLM2,M2,*,UW101,*,*
AL188-1_LRM3,M3,*,AL188-1,*,*
AL266-1_LRM3,M3,*,AL266-1,*,*
AL288-1_LRM3,M3,*,AL288-1,*,*
Hnal_UW101_LRM3,M3,*,Hnal,*,*
Hnal_UW516_LLM3,M3,*,Hnal,*,*
KNM-ER_806A_LLM3,M3,*,KNM-ER,*,*
KNM-ER_992_LRM3,M3,*,KNM-ER,*,*
KNM-ER_1812C_LLM3,M3,*,KNM-ER,*,*
LM3_Pboi_KNM-ER_15930_LLM3,M3,*,LM3,*,*
LM3_Pboi_KNM-ER_25520_LRM3,M3,*,LM3,*,*
OH4_LLM3,M3,*,OH4,*,*
OH13_LLM3,M3,*,OH13,*,*
OH16_LRM3,M3,*,OH16,*,*
Pb_Omo47-1973-1500_LRM3,M3,*,Pb,*,*
Pr_DNH7_LRM3,M3,*,Pr,*,*
Pr_DNH8_LLM3,M3,*,Pr,*,*
Pr_DNH12_LRM3,M3,*,Pr,*,*
Pr_DNH18_LRM3,M3,*,Pr,*,*
Pr_DNH21_LLM3,M3,*,Pr,*,*
Pr_DNH51_LRM3,M3,*,Pr,*,*
Pr_DNH68_LRM3,M3,*,Pr,*,*
Pr_SK6_LRM3,M3,*,Pr,*,*
Pr_SK22_LRM3,M3,*,Pr,*,*
Pr_SK23_LLM3,M3,*,Pr,*,*
Pr_SK34_LRM3,M3,*,Pr,*,*
Pr_SK75_LRM3,M3,*,Pr,*,*
Pr_SK841b_LLM3,M3,*,Pr,*,*
Pr_SK843_LLM3,M3,*,Pr,*,*
Pr_SKW5_LLM3,M3,*,Pr,*,*
Pr_SKX5014_LRM3,M3,*,Pr,*,*
Pr_SKX10642_LLM3,M3,*,Pr,*,*
Pr_SKX10643_LRM3,M3,*,Pr,*,*
Pr_TM1517b_LRM3,M3,*,Pr,*,*
Pr_TM1600_LLM3,M3,*,Pr,*,*
STW3_LLM3,M3,*,STW3,*,*
STW14_LRM3,M3,*,STW14,*,*
STW109_LRM3,M3,*,STW109,*,*
STW142(STW312)_LLM3,M3,*,STW142(STW312),*,*
STW237_LLM3,M3,*,STW237,*,*
STW384_LRM3,M3,*,STW384,*,*
STW404_LRM3,M3,*,STW404,*,*
STW491_LLM3,M3,*,STW491,*,*
STW498c_LLM3,M3,*,STW498c,*,*
STW520_LRM3,M3,*,STW520,*,*
STW529_LLM3,M3,*,STW529,*,*
STW537_LLM3,M3,*,STW537,*,*
STW560A_LRM3,M3,*,STW560A,*,*
UW101_1261_LRM3,M3,*,UW101,*,*
UW105-001_LLM3,M3,*,UW105-001,*,*
UW105-825_LRM2,M2,*,UW105-825,*,*
UW_105_002A_LLM2,M2,*,UW,*,*
