Name,Tooth,Class1,Class2,Classify,Exclude
AL128-23_LRP3,P3,*,AL128-23,*,*
AL266-1_LRP3,P3,*,AL266-1,*,*
AL333-10_LLP3,P3,*,AL333-10,*,*
AL333w-60_LLP3,P3,*,AL333w-60,*,*
AL333w-1_LRP3,P3,*,AL333w-1,*,*
AL417-1a_LLP3,P3,*,AL417-1a,*,*
AL655-1_LLP3,P3,*,AL655-1,*,*
DNH8_LLP3,P3,*,DNH8,*,*
DNH46_LRP3,P3,*,DNH46,*,*
DNH51_LRP3,P3,*,DNH51,*,*
DNH68_LRP3,P3,*,DNH68,*,*
KNM-ER_992_LRP3,P3,*,KNM-ER,*,*
KNM-ER_1507_LLP3,P3,*,KNM-ER,*,*
KNM-ER_1802_LRP3,P3,*,KNM-ER,*,*
KNM-ER_5431_LLP3,P3,*,KNM-ER,*,*
KNM-WT_16005_LLP3,P3,*,KNM-WT,*,*
OH7_LRP3,P3,*,OH7,*,*
OH13_LRP3,P3,*,OH13,*,*
OH16_LRP3,P3,*,OH16,*,*
OH22_LRP3,P3,*,OH22,*,*
Omo75i-1970-1255_LRP3,P3,*,Omo75i-1970-1255,*,*
SK6_LRP3,P3,*,SK6,*,*
SK96_2_LLP3,P3,*,SK96,*,*
SK100_LRP3,P3,*,SK100,*,*
SK857_LRP3,P3,*,SK857,*,*
SKW5_LRP3,P3,*,SKW5,*,*
STS51_LRP3,P3,*,STS51,*,*
STS52b_LRP3,P3,*,STS52b,*,*
STW7_LLP3,P3,*,STW7,*,*
STW213_LRP3,P3,*,STW213,*,*
STW404_LRP3,P3,*,STW404,*,*
UW101_144_LLP3,P3,*,UW101,*,*
UW101_298_LRP3,P3,*,UW101,*,*
UW101_377_LRP3,P3,*,UW101,*,*
UW101_506_LRP3,P3,*,UW101,*,*
UW101_889_LLP3,P3,*,UW101,*,*
UW101_1261_LRP3,P3,*,UW101,*,*
UW101_1565_LLP3,P3,*,UW101,*,*
UW_105_658_LRP3,P3,*,UW,*,*
