Name,Tooth,Class1,Class2,Classify,Exclude
AL128-23_LRP3,P3,Aus,Aafa,*,ex
AL266-1_LRP3,P3,Aus,Aafa,*,ex
AL333-10_LLP3,P3,Aus,Aafa,*,ex
AL333w-60_LLP3,P3,Aus,Aafa,*,ex
AL333w-1_LRP3,P3,Aus,Aafa,*,ex
AL417-1a_LLP3,P3,Aus,Aafa,*,ex
AL655-1_LLP3,P3,Aus,Aafa,*,ex
DNH8_LLP3,P3,Prob,Prob,*,ex
DNH46_LRP3,P3,Prob,Prob,*,ex
DNH51_LRP3,P3,Prob,Prob,*,ex
DNH68_LRP3,P3,Prob,Prob,*,ex
KNM-ER_992_LRP3,P3,Early Homo,Early Homo,*,ex
KNM-ER_1507_LLP3,P3,Early Homo,Early Homo,*,ex
KNM-ER_1802_LRP3,P3,Early Homo,Early Homo,*,ex
KNM-ER_5431_LLP3,P3,Early Homo,Early Homo,*,ex
KNM-WT_16005_LLP3,P3,Pboi,Pboi,*,ex
OH7_LRP3,P3,Early Homo,Early Homo,*,ex
OH13_LRP3,P3,Early Homo,Early Homo,*,ex
OH16_LRP3,P3,Early Homo,Early Homo,*,ex
OH22_LRP3,P3,TO EXCLUDE,TO EXCLUDE,*,ex
Omo75i-1970-1255_LRP3,P3,Early Homo,Early Homo,*,ex
SK96_2_LLP3,P3,Prob,Prob,*,ex
SK100_LRP3,P3,Prob,Prob,*,ex
SK857_LRP3,P3,Prob,Prob,*,ex
SKW5_LRP3,P3,Prob,Prob,*,ex
STS51_LRP3,P3,Aus,Aafr,*,ex
STS52b_LRP3,P3,Aus,Aafr,*,ex
STW7_LLP3,P3,Aus,Aafr,*,ex
STW213_LRP3,P3,Aus,Aafr,*,ex
STW404_LRP3,P3,Aus,Aafr,*,ex
UW101_144_LLP3,P3,Hnal,Hnal,*,ex
UW101_298_LRP3,P3,Hnal,Hnal,*,ex
UW101_377_LRP3,P3,Hnal,Hnal,*,ex
UW101_506_LRP3,P3,Hnal,Hnal,*,ex
UW101_889_LLP3,P3,Hnal,Hnal,*,ex
UW101_1261_LRP3,P3,Hnal,Hnal,*,ex
UW101_1565_LLP3,P3,Hnal,Hnal,*,ex
Aafr_STS52B_LRP4,P4,Aus,Aafr,*,*
Aafr_STW131_LLP4,P4,Aus,Aafr,*,*
Aafr_STW213_LRP4,P4,Aus,Aafr,*,*
Aafr_STW327_LRP4,P4,Aus,Aafr,*,*
Aafr_STW404_LRP4,P4,Aus,Aafr,*,*
Aafr_STW537_LLP4,P4,Aus,Aafr,*,*
Aafr_STW_14_LLP4,P4,Aus,Aafr,*,*
Aafr_TM1523_LLP4,P4,Aus,Aafr,*,*
AL128-23_LRP4,P4,Aus,Aafa,*,*
AL266-1_LRP4,P4,Aus,Aafa,*,*
AL330-7_LLP4,P4,Aus,Aafa,*,*
AL330-5_LRP4,P4,Aus,Aafa,*,*
AL333w-1_LLP4,P4,Aus,Aafa,*,*
AL417-1a_LLP4,P4,Aus,Aafa,*,*
AL443-1_LLP4,P4,Aus,Aafa,*,*
DNH8_LLP4,P4,Prob,Prob,*,*
DNH51_LRP4,P4,Prob,Prob,*,*
KNM-ER_992_LRP4,P4,Early Homo,Early Homo,*,*
KNM-ER_1507_LLP4,P4,Early Homo,Early Homo,*,*
KNM-ER_1802_LRP4,P4,Early Homo,Early Homo,*,*
KNM-ER_5431_LLP4,P4,TO EXCLUDE,TO EXCLUDE,*,ex
LH3r_LLP4,P4,Aus,Aafa,*,*
OH7_LRP4,P4,Early Homo,Early Homo,*,*
OH13_LRP4,P4,Early Homo,Early Homo,*,*
OH16_LLP4,P4,Early Homo,Early Homo,*,*
OH22_LRP4,P4,TO EXCLUDE,TO EXCLUDE,*,ex
Pboi_KNM-ER_3885_LRP4,P4,Pboi,Pboi,*,*
Pboi_KNMER_15951D_LRP4,P4,Pboi,Pboi,*,*
Prob_SK7_LRP4,P4,Prob,Prob,*,*
Prob_SK9_LLP4,P4,Prob,Prob,*,*
Prob_SK23_LRP4,P4,Prob,Prob,*,*
Prob_SK25_LLP4,P4,Prob,Prob,*,*
Prob_SK55B_LLP4,P4,Prob,Prob,*,*
Prob_SK88_LLP4,P4,Prob,Prob,*,*
Prob_SK826B_LLP4,P4,Prob,Prob,*,*
Prob_SK1587a_LLP4,P4,Prob,Prob,*,*
Prob_SK1588_LRP4,P4,Prob,Prob,*,*
Prob_SKW5_LRP4,P4,Prob,Prob,*,*
Prob_SKX4446_LRP4,P4,Prob,Prob,*,*
SK6_LLP4,P4,Prob,Prob,*,*
STW151_LLP4,P4,Early Homo,Early Homo,*,*
UW101_184_LLP4,P4,Hnal,Hnal,*,*
UW101_377_LRP4,P4,Hnal,Hnal,*,*
UW101_383_LRP4,P4,Hnal,Hnal,*,*
UW101_887_LLP4,P4,Hnal,Hnal,*,*
UW101_1261_LLP4,P4,Hnal,Hnal,*,*
UW105_811_LLP4,P4,UW105,UW105,classify,*
UW_105_240_LLP,P4,UW105,UW105,classify,*
