Name,Tooth,Class1,Class2,Classify,Exclude
AL128-23_LRP3,P3,*,AL128-23,*,*
AL266-1_LRP3,P3,*,AL266-1,*,*
AL333-10_LLP3,P3,*,AL333-10,*,*
AL333w-60_LLP3,P3,*,AL333w-60,*,*
AL333w-1_LRP3,P3,*,AL333w-1,*,*
AL417-1a_LLP3,P3,*,AL417-1a,*,*
AL655-1_LLP3,P3,*,AL655-1,*,*
DNH8_LLP3,P3,*,DNH8,*,*
DNH46_LRP3,P3,*,DNH46,*,*
DNH51_LRP3,P3,*,DNH51,*,*
DNH68_LRP3,P3,*,DNH68,*,*
KNM-ER_992_LRP3,P3,*,KNM-ER,*,*
KNM-ER_1507_LLP3,P3,*,KNM-ER,*,*
KNM-ER_1802_LRP3,P3,*,KNM-ER,*,*
KNM-ER_5431_LLP3,P3,*,KNM-ER,*,*
KNM-WT_16005_LLP3,P3,*,KNM-WT,*,*
OH7_LRP3,P3,*,OH7,*,*
OH13_LRP3,P3,*,OH13,*,*
OH16_LRP3,P3,*,OH16,*,*
OH22_LRP3,P3,*,OH22,*,*
Omo75i-1970-1255_LRP3,P3,*,Omo75i-1970-1255,*,*
SK96_2_LLP3,P3,*,SK96,*,*
SK100_LRP3,P3,*,SK100,*,*
SK857_LRP3,P3,*,SK857,*,*
SKW5_LRP3,P3,*,SKW5,*,*
STS51_LRP3,P3,*,STS51,*,*
STS52b_LRP3,P3,*,STS52b,*,*
STW7_LLP3,P3,*,STW7,*,*
STW213_LRP3,P3,*,STW213,*,*
STW404_LRP3,P3,*,STW404,*,*
UW101_144_LLP3,P3,*,UW101,*,*
UW101_298_LRP3,P3,*,UW101,*,*
UW101_377_LRP3,P3,*,UW101,*,*
UW101_506_LRP3,P3,*,UW101,*,*
UW101_889_LLP3,P3,*,UW101,*,*
UW101_1261_LRP3,P3,*,UW101,*,*
UW101_1565_LLP3,P3,*,UW101,*,*
Aafr_STS52B_LRP4,P4,*,Aafr,*,*
Aafr_STW131_LLP4,P4,*,Aafr,*,*
Aafr_STW213_LRP4,P4,*,Aafr,*,*
Aafr_STW327_LRP4,P4,*,Aafr,*,*
Aafr_STW404_LRP4,P4,*,Aafr,*,*
Aafr_STW537_LLP4,P4,*,Aafr,*,*
Aafr_STW_14_LLP4,P4,*,Aafr,*,*
Aafr_TM1523_LLP4,P4,*,Aafr,*,*
AL128-23_LRP4,P4,*,AL128-23,*,*
AL266-1_LRP4,P4,*,AL266-1,*,*
AL330-7_LLP4,P4,*,AL330-7,*,*
AL330-5_LRP4,P4,*,AL330-5,*,*
AL333w-1_LLP4,P4,*,AL333w-1,*,*
AL417-1a_LLP4,P4,*,AL417-1a,*,*
AL443-1_LLP4,P4,*,AL443-1,*,*
DNH8_LLP4,P4,*,DNH8,*,*
DNH51_LRP4,P4,*,DNH51,*,*
KNM-ER_992_LRP4,P4,*,KNM-ER,*,*
KNM-ER_1507_LLP4,P4,*,KNM-ER,*,*
KNM-ER_1802_LRP4,P4,*,KNM-ER,*,*
KNM-ER_5431_LLP4,P4,*,KNM-ER,*,*
LH3r_LLP4,P4,*,LH3r,*,*
OH7_LRP4,P4,*,OH7,*,*
OH13_LRP4,P4,*,OH13,*,*
OH16_LLP4,P4,*,OH16,*,*
OH22_LRP4,P4,*,OH22,*,*
Pboi_KNM-ER_3885_LRP4,P4,*,Pboi,*,*
Pboi_KNMER_15951D_LRP4,P4,*,Pboi,*,*
Prob_SK7_LRP4,P4,*,Prob,*,*
Prob_SK9_LLP4,P4,*,Prob,*,*
Prob_SK23_LRP4,P4,*,Prob,*,*
Prob_SK25_LLP4,P4,*,Prob,*,*
Prob_SK55B_LLP4,P4,*,Prob,*,*
Prob_SK88_LLP4,P4,*,Prob,*,*
Prob_SK826B_LLP4,P4,*,Prob,*,*
Prob_SK1587a_LLP4,P4,*,Prob,*,*
Prob_SK1588_LRP4,P4,*,Prob,*,*
Prob_SKW5_LRP4,P4,*,Prob,*,*
Prob_SKX4446_LRP4,P4,*,Prob,*,*
SK6_LLP4,P4,*,SK6,*,*
STW151_LLP4,P4,*,STW151,*,*
UW101_184_LLP4,P4,*,UW101,*,*
UW101_377_LRP4,P4,*,UW101,*,*
UW101_383_LRP4,P4,*,UW101,*,*
UW101_887_LLP4,P4,*,UW101,*,*
UW101_1261_LLP4,P4,*,UW101,*,*
UW105_811_LLP4,P4,*,UW105,*,*
UW_105_240_LLP,LP,*,UW,*,*
