Name,Tooth,Class1,Class2,Classify,Exclude
AL198-1_LLC,LC,*,AL198-1,*,*
AL277-1_LLC,LC,*,AL277-1,*,*
AL400-1_LLC,LC,*,AL400-1,*,*
DNH8_LRC,RC,*,DNH8,*,*
DNH79a_LRC,RC,*,DNH79a,*,*
KNM-ER1507_LLC,LC,*,KNM-ER1507,*,*
LC1_Ased_MH1_LLC1,C1,*,LC1,*,*
LH14e_LRC,RC,*,LH14e,*,*
MH2_LRC,RC,*,MH2,*,*
MLD18_LRC,RC,*,MLD18,*,*
OH7_LRC,RC,*,OH7,*,*
OH13_LRC,RC,*,OH13,*,*
OH16_LRC,RC,*,OH16,*,*
SK23_LRC,RC,*,SK23,*,*
SK87_LRC,RC,*,SK87,*,*
SK96_LLC,LC,*,SK96,*,*
STS50_LLC,LC,*,STS50,*,*
STW132_LRC,RC,*,STW132,*,*
STW142_LRC,RC,*,STW142,*,*
STW213_LLC,LC,*,STW213,*,*
TM1601c_LLC,LC,*,TM1601c,*,*
UW101_339_LRC,RC,*,UW101,*,*
UW101_886_LRC,RC,*,UW101,*,*
UW101_1076_LLC,LC,*,UW101,*,*
UW101_1261_LRC,RC,*,UW101,*,*
UW105_966,66,*,UW105,*,*
AL199-1_URC,RC,*,AL199-1,*,*
AL200-1a_ULC,LC,*,AL200-1a,*,*
AL417-1d_URC,RC,*,AL417-1d,*,*
DNH7_ULC,LC,*,DNH7,*,*
DNH73_ULC,LC,*,DNH73,*,*
DNH108_ULC,LC,*,DNH108,*,*
KNM-ER1813_URC,RC,*,KNM-ER1813,*,*
KNM-ER_1590D_URC,RC,*,KNM-ER,*,*
LH5_URC,RC,*,LH5,*,*
MH1_URC1,C1,*,MH1,*,*
MLD11_30_URC,RC,*,MLD11,*,*
OH15_URC,RC,*,OH15,*,*
OH39_URC,RC,*,OH39,*,*
OH62_URC,RC,*,OH62,*,*
SK4_URC,RC,*,SK4,*,*
SK65a_URC,RC,*,SK65a,*,*
SK93_ULC,LC,*,SK93,*,*
SKX162_URC,RC,*,SKX162,*,*
SKX25296_ULC,LC,*,SKX25296,*,*
SKX28724_URC,RC,*,SKX28724,*,*
STS52a_URC,RC,*,STS52a,*,*
STW126_URC,RC,*,STW126,*,*
STW252_ULC,LC,*,STW252,*,*
UW101_337_URC,RC,*,UW101,*,*
UW101_412_ULC,LC,*,UW101,*,*
UW101_501_ULC,LC,*,UW101,*,*
UW101_706_ULC,LC,*,UW101,*,*
UW101_1556_ULC,LC,*,UW101,*,*
