Name,Tooth,Class1,Class2,Classify,Exclude,Comment
AL198-1_LLC,LC,Aus,Aus,*,ex,
AL277-1_LLC,LC,Aus,Aus,*,ex,
AL400-1_LLC,LC,Aus,Aus,*,ex,
DNH8_LRC,LC,Prob,ProbDNH,*,ex,
DNH79a_LRC,LC,Prob,ProbDNH,*,ex,
KNM-ER1507_LLC,LC,Early Homo,Early Homo,*,ex,
LC1_Ased_MH1_LLC1,LC,Aus,Aus,*,ex,
LH14e_LRC,LC,Aus,Aus,*,ex,
MH2_LRC,LC,Aus,Aus,*,ex,
MLD18_LRC,LC,Aus,Aus,*,ex,
OH7_LRC,LC,Early Homo,Early Homo,*,ex,
OH13_LRC,LC,Early Homo,Early Homo,*,ex,
OH16_LRC,LC,Early Homo,Early Homo,*,ex,
SK23_LRC,LC,Prob,Prob,*,ex,
SK87_LRC,LC,Prob,Prob,*,ex,
SK96_LLC,LC,Prob,Prob,*,ex,
STS50_LLC,LC,Aus,Aus,*,ex,
STW132_LRC,LC,Aus,Aus,*,ex,
STW142_LRC,LC,Aus,Aus,*,ex,
STW213_LLC,LC,Aus,Aus,*,ex,
TM1601c_LLC,LC,Prob,Prob,*,ex,
UW101_339_LRC,LC,Hnal,Hnal,*,ex,
UW101_886_LRC,LC,Hnal,Hnal,*,ex,
UW101_1076_LLC,LC,Hnal,Hnal,*,ex,
UW101_1261_LRC,LC,Hnal,Hnal,*,ex,
AL400-1_LLI1,LI1,Aus,Aus,*,ex,
AL822-1_LRI1,LI1,Aus,Aus,*,ex,
DNH7_LLI1,LI1,Prob,ProbDNH,*,ex,
DNH107_LRI1,LI1,Prob,ProbDNH,*,ex,
KNM-ER820_LLI1,LI1,Here,Here,*,ex,
MLD18_LRI1,LI1,Aus,Aus,*,ex,
OH7_LRI1,LI1,Early Homo,Early Homo,*,ex,
OH16_LLI1,LI1,Early Homo,Early Homo,*,ex,
SK23_LRI1,LI1,Prob,Prob,*,ex,
SK62_LLI1,LI1,Prob,Prob,*,ex,
SK852_LLI1,LI1,Prob,Prob,*,ex,
SK858_LRI1,LI1,Prob,Prob,*,ex,
STS24_LRI1,LI1,Aus,Aus,*,ex,
Sts52b_LRI1,LI1,Aus,Aus,*,ex,
STW404_LRI1,LI1,Aus,Aus,*,ex,
UW101_1005a_LLI1,LI1,Hnal,Hnal,*,ex,
UW101_1132_LLI1,LI1,Hnal,Hnal,*,ex,
UW101_1261_LRI1,LI1,Hnal,Hnal,*,ex,
AL400-1_LLI2,LI2,Aus,Aus,*,ex,
AL822-1_LRI2,LI2,Aus,Aus,*,ex,
DNH7_LLI2,LI2,Prob,ProbDNH,*,ex,
DNH80_URI1,UI1,Prob,ProbDNH,*,ex,Was originally published and labelled as LLI2
KNM-ER820_LLI2,LI2,Here,Here,*,ex,TO EXCLUDE. Cervix likely wrong
LH14c_LRI2,LI2,Aus,Aus,*,ex,
MLD18_LRI2,LI2,Aus,Aus,*,ex,
OH7_LRI2,LI2,Early Homo,Early Homo,*,ex,
OH16_LLI2,LI2,Early Homo,Early Homo,*,ex,
SK62_LLI2,LI2,Prob,Prob,*,ex,
SK858_LRI2,LI2,Prob,Prob,*,ex,
STS24_LLI2,LI2,Aus,Aus,*,ex,
Sts52b_LRI2,LI2,Aus,Aus,*,ex,
STW111_LRI2,LI2,Aus,Aus,*,ex,
UW101_335_LRI2,LI2,Hnal,Hnal,*,ex,
UW101_998_LLI2,LI2,Hnal,Hnal,*,ex,
UW101_1075_LRI2,LI2,Hnal,Hnal,*,ex,
UW101_1261_LRI2,LI2,Hnal,Hnal,*,ex,
UW105_966,Tooth,UW105,UW105,classify,*,
AL199-1_URC,UC,Aus,Aus,*,*,
AL200-1a_ULC,UC,Aus,Aus,*,*,
AL417-1d_URC,UC,Aus,Aus,*,*,
DNH7_ULC,UC,Prob,ProbDNH,*,*,
DNH73_ULC,UC,Prob,ProbDNH,*,*,
DNH108_ULC,UC,Prob,ProbDNH,*,*,
KNM-ER1813_URC,UC,Early Homo,Early Homo,*,*,
