Name,Tooth,Class1,Class2,Classify,Exclude
AL200-1a_ULI1,I1,*,AL200-1a,*,*
AL486-1_ULI1,I1,*,AL486-1,*,*
DNH93_ULI1,I1,*,DNH93,*,*
DNH108_URI1,I1,*,DNH108,*,*
KNM-WT_15000A_ULI1,I1,*,KNM-WT,*,*
LH3b_ULI1,I1,*,LH3b,*,*
MH1_URI1,I1,*,MH1,*,*
MLD43_ULI1,I1,*,MLD43,*,*
OH16_URI1,I1,*,OH16,*,*
OH39_URI1,I1,*,OH39,*,*
Prob_KB5389_ULI1,I1,*,Prob,*,*
Prob_SK2_URI1,I1,*,Prob,*,*
Prob_SK3_URI1,I1,*,Prob,*,*
Prob_SK40_ULI1,I1,*,Prob,*,*
Prob_SK68_ULI1,I1,*,Prob,*,*
Prob_SKX240_ULI1,I1,*,Prob,*,*
SK65_ULI1,I1,*,SK65,*,*
STS24a_URI1,I1,*,STS24a,*,*
STS52a_ULI1,I1,*,STS52a,*,*
STW75_STW78.79_ULI1,I1,*,STW75,*,*
STW183a_URI1,I1,*,STW183a,*,*
STW252_ULI1,I1,*,STW252,*,*
UW101_038_URI1,I1,*,UW101,*,*
UW101_591_ULI1,I1,*,UW101,*,*
UW101_931_ULI1,I1,*,UW101,*,*
UW101_1558_URI1,I1,*,UW101,*,*
UW_105_006_UI1,I1,*,UW,*,*
