Name,Tooth,Class1,Class2,Classify,Exclude
AL200-1a_ULM1,M1,Aus,Aafa,*,ex
AL333-86_URM1,M1,Aus,Aafa,*,ex
AL486-1_ULM1,M1,Aus,Aafa,*,ex
Ased_ULM1,M1,Aus,Ased,*,ex
DNH_39_URM1,M1,Early Homo,Early Homo,*,ex
DNH_70_ULM1,M1,Early Homo,Early Homo,*,ex
DNH_108_ULM1,M1,Prob,Prob,*,ex
KNM-ER_807_URM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1590K_ULM1,M1,Early Homo,Early Homo,*,ex
KNM-ER_1813_ULM1,M1,Early Homo,Early Homo,*,ex
KNM-WT_17400_URM1,M1,Pboi,Pboi,*,ex
LH6_URM1,M1,Aus,Aafa,*,ex
OH13_ULM1,M1,Early Homo,Early Homo,*,ex
OH16_URM1,M1,Early Homo,Early Homo,*,ex
OH21_ULM1,M1,Early Homo,Early Homo,*,ex
OH24_ULM1,M1,Early Homo,Early Homo,*,ex
OH45_ULM,M1,Early Homo,Early Homo,*,ex
Prob_DNH_57B_URM1,M1,Prob,Prob,*,ex
Prob_DNH_60A_ULM1,M1,Prob,Prob,*,ex
Prob_SK829_ULM1,M1,Prob,Prob,*,ex
Prob_SK_47_URM1,M1,Prob,Prob,*,ex
Prob_SK_89a_ULM1,M1,Prob,Prob,*,ex
Prob_SK_832_ULM1,M1,Prob,Prob,*,ex
SK13.14_URM1,M1,Prob,Prob,*,ex
SK27_ULM1,M1,Prob,Prob,*,ex
SK_48_URM1,M1,Prob,Prob,*,ex
SK_52_URM1,M1,Prob,Prob,*,ex
SK_102_ULM1,M1,Prob,Prob,*,ex
SK_829_ULM1,M1,Prob,Prob,*,ex
SK_838a_URM1,M1,Prob,Prob,*,ex
SK_14129A_URM1,M1,Prob,Prob,*,ex
STS_1_ULM1,M1,Aus,Aafr,*,ex
STS_8_ULM1,M1,Aus,Aafr,*,ex
STS_24_URM1,M1,Aus,Aafr,*,ex
STS_56_ULM1,M1,Aus,Aafr,*,ex
STS_57_ULM1,M1,Aus,Aafr,*,ex
STW183_ULM1,M1,Aus,Aafr,*,ex
STW252J_ULM1,M1,Aus,Aafr,*,ex
STW_402_URM1,M1,Aus,Aafr,*,ex
STW_450_URM1,M1,Aus,Aafr,*,ex
TAUNG_1_ULM1,M1,Aus,Aafr,*,ex
TM_1517a_ULM1,M1,Prob,Prob,*,ex
UW101_445_ULM1,M1,Hnal,Hnal,*,ex
UW101_708_ULM1,M1,Hnal,Hnal,*,ex
AL199-1_URM2,M2,Aus,Aafa,*,*
AL200-1a_URM2,M2,Aus,Aafa,*,*
AL417-1d_ULM2,M2,Aus,Aafa,*,*
AL486-1_ULM2,M2,Aus,Aafa,*,*
AL666-1_ULM2,M2,Early Homo,Early Homo,*,*
Ased_ULM2,M2,Aus,Ased,*,*
DNH_7_URM2,M2,Prob,Prob,*,*
DNH_108_URM2,M2,Prob,Prob,*,*
KNM-ER_1590M_ULM2,M2,Early Homo,Early Homo,*,*
KNM-ER_1808H_URM2,M2,Early Homo,Early Homo,*,*
KNM-WT_17400_URM2,M2,Pboi,Pboi,*,*
KNMER1813_ULM2,M2,Early Homo,Early Homo,*,*
OH13_ULM2,M2,Early Homo,Early Homo,*,*
OH16_ULM2,M2,Early Homo,Early Homo,*,*
OH39_ULM2,M2,Early Homo,Early Homo,*,*
Prob_SK_48_URM2,M2,Prob,Prob,*,*
Prob_SK_834_URM2,M2,Prob,Prob,*,*
SK13.14_URM2,M2,Prob,Prob,*,*
SK_16.1591_ULM2,M2,Prob,Prob,*,*
SK_47_URM2,M2,Prob,Prob,*,*
SK_49_URM2,M2,Prob,Prob,*,*
SK_52_URM2,M2,Prob,Prob,*,*
SKW_33_URM2,M2,Prob,Prob,*,*
STS_8_ULM2,M2,Aus,Aafr,*,*
STS_22_ULM2,M2,Aus,Aafr,*,*
STS_28_URM2,M2,Aus,Aafr,*,*
STS_30_URM2,M2,Aus,Aafr,*,*
STS_37_ULM2,M2,Aus,Aafr,*,*
STS_52a_ULM2,M2,Aus,Aafr,*,*
STS_56_ULM2,M2,Aus,Aafr,*,*
STW_183_ULM2,M2,Aus,Aafr,*,*
STW_188_URM2,M2,Aus,Aafr,*,*
STW_252I_ULM2,M2,Aus,Aafr,*,*
STW_280_ULM2,M2,Aus,Aafr,*,*
STW_529_ULM2,M2,Aus,Aafr,*,*
TM_1517a_ULM2,M2,Prob,Prob,*,*
TM_1517C_URM2,M2,Prob,Prob,*,*
UW101_593_URM2,M2,Hnal,Hnal,*,*
UW101_867_URM2,M2,Hnal,Hnal,*,*
UW101_1015_ULM2,M2,Hnal,Hnal,*,*
UW101_1277_ULM2,M2,Hnal,Hnal,*,*
AL200-1a_URM3,M3,Aus,Aafa,*,ex
AL333x-1_URM3,M3,Aus,Aafa,*,ex
AL486-1_ULM3,M3,Aus,Aafa,*,ex
Ased_ULM3,M3,Aus,Ased,*,ex
DNH_54_ULM3,M3,Prob,Prob,*,ex
KNM-ER_807_URM3,M3,Early Homo,Early Homo,*,ex
KNM-ER_1813_ULM3,M3,Early Homo,Early Homo,*,ex
L398-573_ULM3,M3,Early Homo,Early Homo,*,ex
OH13_URM3,M3,Early Homo,Early Homo,*,ex
OH15_URM3,M3,Early Homo,Early Homo,*,ex
OH16_ULM3,M3,Early Homo,Early Homo,*,ex
Prob_DNH_3_ULM3,M3,Prob,Prob,*,ex
Prob_SK16_ULM3,M3,Prob,Prob,*,ex
Prob_SK3975_ULM3,M3,Prob,Prob,*,ex
Prob_SK3977_URM3,M3,Prob,Prob,*,ex
Prob_SK_831A_ULM3,M3,Prob,Prob,*,ex
Prob_SK_3975_ULM3,M3,Prob,Prob,*,ex
Prob_SK_3977_URM3,M3,Prob,Prob,*,ex
Prob_SKX21841_URM3,M3,Prob,Prob,*,ex
Prob_TM1517C_URM3,M3,Prob,Prob,*,ex
SK_13.14_URM3,M3,Prob,Prob,*,ex
SK_52_URM3,M3,Prob,Prob,*,ex
SK_105_ULM3,M3,Prob,Prob,*,ex
SK_847_UM3,M3,Prob,Prob,*,ex
STS_28_URM3,M3,Aus,Aafr,*,ex
STS_37_ULM3,M3,Aus,Aafr,*,ex
STS_52a_URM3,M3,Aus,Aafr,*,ex
STS_53_ULM3,M3,Aus,Aafr,*,ex
STW6_ULM3,M3,Aus,Aafr,*,ex
STW179_ULM3,M3,Aus,Aafr,*,ex
STW183_URM3,M3,Aus,Aafr,*,ex
STW189_ULM3,M3,Aus,Aafr,*,ex
STW252H_URM3,M3,Aus,Aafr,*,ex
UW101_594_URM3,M3,Hnal,Hnal,*,ex
UW101_1269_ULM3,M3,Hnal,Hnal,*,ex
UW101_1398a_URM3,M3,Hnal,Hnal,*,ex
UW105-676_URM,M3,UW105,UW105,*,ex
UW105_681_URM,M2,UW105,UW105,classify,*
UW_105_042_URM1,M1,UW105,UW105,*,ex
