Name,Tooth,Class1,Class2,Classify,Exclude
AL200-1a_ULP3,P3,*,AL200-1a,*,*
AL333-1_ULP3,P3,*,AL333-1,*,*
AL486-1_ULP3,P3,*,AL486-1,*,*
AL666-1_URP3,P3,*,AL666-1,*,*
KNM-ER_1590G_ULP3,P3,*,KNM-ER,*,*
KNM-ER_3733_URP3,P3,*,KNM-ER,*,*
LH6c_URP3,P3,*,LH6c,*,*
MD_11_30_URP3,P3,*,MD,*,*
MLD_23_ULP3,P3,*,MLD,*,*
OH13_URP3,P3,*,OH13,*,*
OH16_URP3,P3,*,OH16,*,*
OH39_URP3,P3,*,OH39,*,*
SK_24_ULP3_28,28,*,SK,*,*
SK_52_ULP3,P3,*,SK,*,*
SK_74c_URP3,P3,*,SK,*,*
SKX_162_URP3_28,28,*,SKX,*,*
STS_1_ULP3,P3,*,STS,*,*
STS_52a_URP3,P3,*,STS,*,*
STW_73_ULP3,P3,*,STW,*,*
STW_252_URP3,P3,*,STW,*,*
STW_280_URP3,P3,*,STW,*,*
UW101_037,37,*,UW101,*,*
UW101_182,82,*,UW101,*,*
UW101_729_URP3,P3,*,UW101,*,*
UW101_786,86,*,UW101,*,*
UW101_1004,04,*,UW101,*,*
AL199-1_URP4,P4,*,AL199-1,*,*
AL200-1a_ULP4,P4,*,AL200-1a,*,*
AL333-2_ULP4,P4,*,AL333-2,*,*
AL333-1_URP4,P4,*,AL333-1,*,*
AL333w-42_URP4,P4,*,AL333w-42,*,*
AL486-1_ULP4,P4,*,AL486-1,*,*
AL666-1_URP4,P4,*,AL666-1,*,*
DNH22A_URP4,P4,*,DNH22A,*,*
DNH59_URP4,P4,*,DNH59,*,*
DNH108_URP4,P4,*,DNH108,*,*
DNH116_ULP4,P4,*,DNH116,*,*
KNM-ER_1590I_ULP4,P4,*,KNM-ER,*,*
KNM-ER_1813_ULP4,P4,*,KNM-ER,*,*
KNM-ER_3733_ULP4,P4,*,KNM-ER,*,*
MLD_6_URP4,P4,*,MLD,*,*
OH13_URP4,P4,*,OH13,*,*
OH16_URP4,P4,*,OH16,*,*
OH24_ULP4,P4,*,OH24,*,*
OH39_URP4,P4,*,OH39,*,*
SK_28_ULP4,P4,*,SK,*,*
SKX_162_URP4_28,28,*,SKX,*,*
SKX_26625_ULP4_28,28,*,SKX,*,*
STS_52a_ULP4,P4,*,STS,*,*
STS_57_ULP4,P4,*,STS,*,*
STW_73_ULP4,P4,*,STW,*,*
STW_252_ULP4,P4,*,STW,*,*
STW_280_URP4,P4,*,STW,*,*
UW101_277,77,*,UW101,*,*
UW101_333,33,*,UW101,*,*
UW101_334,34,*,UW101,*,*
UW101_455,55,*,UW101,*,*
UW101_808,08,*,UW101,*,*
UW105-1007_ULP4,P4,*,UW105-1007,*,*
UW105-750_URP,RP,*,UW105-750,*,*
